,Customer ID,frequency,recency,T,monetary_value,p_not_alive,p_alive,predicted_purchases,actual30,error,expected_avg_sales_,predicted_clv,profit_margin,Labels
0,12347.0,7.0,402.0,404.0,717.3985714285712,0.0006343354672539991,0.999365664532746,0.4997438271387325,0.5223880597014926,0.022644232562760103,811.7510322084548,8469.941195192725,423.4970597596363,Low
1,12348.0,4.0,363.0,438.0,449.30999999999995,0.03489563596033318,0.9651043640396668,0.2777113190972061,0.3305785123966942,0.052867193299488136,564.1308847089817,3170.5149436305865,158.52574718152934,Low
2,12349.0,4.0,717.0,735.0,1107.1725,0.003674283573274928,0.9963257164267251,0.18037457875490187,0.16736401673640167,-0.013010562018500205,1389.6757897397445,5400.501716215911,270.0250858107956,Low
3,12352.0,8.0,356.0,392.0,218.1825,0.017281276271325807,0.9827187237286742,0.568670957068829,0.6741573033707865,0.10548634630195752,242.97699615350422,2834.533397328377,141.72666986641886,Low
4,12353.0,1.0,204.0,408.0,89.0,0.1269399043890147,0.8730600956109853,0.10137040382241824,0.14705882352941177,0.04568841970699353,479.6256909772442,920.3869174547241,46.01934587273621,Low
5,12355.0,1.0,353.0,567.0,459.40000000000003,0.08609952497517026,0.9139004750248297,0.07945044246366885,0.08498583569405099,0.0055353932303821435,2454.765503597668,3759.03963232864,187.95198161643202,Low
6,12356.0,5.0,402.0,424.0,1092.6480000000001,0.007697282477666989,0.992302717522333,0.35444923101043707,0.373134328358209,0.018685097347771906,1304.8702593821397,9607.10354185441,480.35517709272057,Low
7,12357.0,1.0,355.0,388.0,6207.670000000001,0.011678829180337469,0.9883211708196625,0.11981145666154398,0.08450704225352113,-0.03530441440802286,33107.13302706313,81493.89093027482,4074.6945465137414,Medium
8,12358.0,4.0,730.0,731.0,614.31,0.00019300202334227023,0.9998069979766577,0.1819133078344608,0.1643835616438356,-0.017529746190625195,771.1876926742874,3038.17708448273,151.90885422413652,Low
9,12359.0,12.0,727.0,734.0,662.85,0.0014251115549188675,0.9985748884450811,0.4805276418019864,0.4951856946354883,0.014658052833501856,711.0724143616743,7394.819521371004,369.74097606855025,Low
10,12360.0,7.0,603.0,655.0,584.9842857142856,0.015318726520093917,0.9846812734799061,0.32094189839082715,0.34825870646766166,0.02731680807683451,661.9497632098868,4470.898030954713,223.54490154773566,Low
